,Rank,City,Country,2023,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Latitude,Longitude
0,1,Begusarai,India,118.9,31.2,235.3,156.8,113.0,109.3,99.0,63.8,61.8,71.5,61.8,210.5,285.0,25.5125411,86.0883392
1,2,Guwahati,India,105.4,220.2,168.1,129.2,112.2,69.5,51.3,46.6,60.2,76.7,76.4,126.9,128.0,26.1805978,91.753943
2,3,Delhi,India,102.1,171.8,114.3,77.4,71.0,67.4,42.9,35.3,34.8,39.7,106.3,255.1,210.0,28.6273928,77.1716954
3,4,Mullanpur,India,100.4,106.3,123.7,78.1,56.6,53.4,53.9,63.2,59.7,59.6,110.4,253.0,201.4,30.7191606,76.3660295
4,5,Lahore,Pakistan,99.5,143.2,117.3,73.8,52.9,52.4,46.4,39.8,42.2,53.8,125.9,251.0,197.5,31.5656822,74.3141829
5,6,New Delhi,India,92.7,162.6,98.2,67.1,59.0,57.7,40.1,31.7,35.0,38.0,94.7,234.7,193.8,28.6430858,77.2192671
6,7,Siwan,India,90.6,223.6,167.5,108.3,71.7,59.8,48.9,35.7,30.4,54.7,48.9,136.3,77.6,26.131008,84.3910745
7,8,Saharsa,India,89.4,202.0,147.1,108.8,88.8,60.3,43.6,16.7,24.3,33.6,41.8,115.8,167.8,25.8330757,86.6143751
8,9,Goshaingaon,India,89.3,205.3,117.5,63.8,63.3,60.7,39.2,27.3,38.3,33.9,81.1,152.0,156.1,25.3670923,87.106891
9,10,Katihar,India,88.8,224.1,113.3,94.0,74.1,49.9,34.7,17.7,27.6,33.9,63.9,134.1,180.5,25.5586421,87.6457196
10,11,Greater Noida,India,88.6,166.5,85.9,64.4,69.2,59.5,42.9,28.1,33.9,38.7,111.6,215.4,142.0,28.4670734,77.5137649
11,12,Faisalabad,Pakistan,88.2,92.0,106.5,66.5,44.5,42.9,43.8,41.349999999999994,38.9,46.0,70.4,196.8,204.2,31.4220558,73.0923253
